"id","x","y","mp","date","state","relevance","types"
28431249,14.471706,50.083532,"false","2025-09-11T15:20:00.0000+02:00",1,4,97
28431249,14.471706,50.083532,"false","2025-09-11T15:20:00.0000+02:00",1,4,131
28432184,14.481686,50.084572,"false","2025-09-11T18:30:00.0000+02:00",2,4,54
28432293,14.457748,50.090127,"false","2025-09-11T15:52:00.0000+02:00",2,4,55
28432293,14.457748,50.090127,"false","2025-09-11T15:52:00.0000+02:00",2,4,58
28433197,14.457142,50.087662,"false","2025-09-11T20:45:00.0000+02:00",2,3,54
28434107,14.453379,50.087124,"false","2025-09-11T23:37:00.0000+02:00",1,4,76
28434107,14.453379,50.087124,"false","2025-09-11T23:37:00.0000+02:00",1,4,97
28434107,14.453379,50.087124,"false","2025-09-11T23:37:00.0000+02:00",1,4,111
28434159,14.453379,50.087124,"false","2025-09-11T18:35:00.0000+02:00",1,4,75
28434159,14.453379,50.087124,"false","2025-09-11T18:35:00.0000+02:00",1,4,97
28434159,14.453379,50.087124,"false","2025-09-11T18:35:00.0000+02:00",1,4,119
28434161,14.453379,50.087124,"false","2025-09-11T16:30:00.0000+02:00",1,4,75
28434161,14.453379,50.087124,"false","2025-09-11T16:30:00.0000+02:00",1,4,97
28434161,14.453379,50.087124,"false","2025-09-11T16:30:00.0000+02:00",1,4,119
28434174,14.471706,50.083532,"false","2025-09-11T22:20:00.0000+02:00",1,4,74
28434174,14.471706,50.083532,"false","2025-09-11T22:20:00.0000+02:00",1,4,97
28434174,14.471706,50.083532,"false","2025-09-11T22:20:00.0000+02:00",1,4,120
28434205,14.471706,50.083532,"false","2025-09-11T21:25:00.0000+02:00",1,4,74
28434205,14.471706,50.083532,"false","2025-09-11T21:25:00.0000+02:00",1,4,97
28434205,14.471706,50.083532,"false","2025-09-11T21:25:00.0000+02:00",1,4,120
28434209,14.471706,50.083532,"false","2025-09-11T22:30:00.0000+02:00",1,4,74
28434209,14.471706,50.083532,"false","2025-09-11T22:30:00.0000+02:00",1,4,97
28434209,14.471706,50.083532,"false","2025-09-11T22:30:00.0000+02:00",1,4,120
28434682,14.453379,50.087124,"false","2025-09-11T17:10:00.0000+02:00",1,4,75
28434682,14.453379,50.087124,"false","2025-09-11T17:10:00.0000+02:00",1,4,97
28434682,14.453379,50.087124,"false","2025-09-11T17:10:00.0000+02:00",1,4,119
28434908,14.471706,50.083532,"false","2025-09-12T02:15:00.0000+02:00",1,4,74
28434908,14.471706,50.083532,"false","2025-09-12T02:15:00.0000+02:00",1,4,97
28434908,14.471706,50.083532,"false","2025-09-12T02:15:00.0000+02:00",1,4,120
28435024,14.471706,50.083532,"false","2025-09-12T01:45:00.0000+02:00",1,4,74
28435024,14.471706,50.083532,"false","2025-09-12T01:45:00.0000+02:00",1,4,97
28435024,14.471706,50.083532,"false","2025-09-12T01:45:00.0000+02:00",1,4,120
28435499,14.469256,50.088722,"false","2025-09-12T08:07:00.0000+02:00",2,4,77
28435499,14.469256,50.088722,"false","2025-09-12T08:07:00.0000+02:00",2,4,97
28435999,14.453769,50.076960,"false","2025-09-12T08:32:00.0000+02:00",1,4,77
28435999,14.453769,50.076960,"false","2025-09-12T08:32:00.0000+02:00",1,4,97
28436133,14.453620,50.084785,"false","2025-09-12T09:38:00.0000+02:00",2,2,76
28436133,14.453620,50.084785,"false","2025-09-12T09:38:00.0000+02:00",2,2,97
28436133,14.453620,50.084785,"false","2025-09-12T09:38:00.0000+02:00",2,2,111
28436557,14.465958,50.091300,"false","2025-09-12T09:39:00.0000+02:00",1,4,77
28436557,14.465958,50.091300,"false","2025-09-12T09:39:00.0000+02:00",1,4,97
28436815,14.453620,50.084785,"false","2025-09-01T09:44:00.0000+02:00",2,2,54
28437716,14.464011,50.083213,"false","2025-09-11T11:40:00.0000+02:00",1,4,78
28437716,14.464011,50.083213,"false","2025-09-11T11:40:00.0000+02:00",1,4,97
28437716,14.464011,50.083213,"false","2025-09-11T11:40:00.0000+02:00",1,4,131
