"id","x","y","mp","date","state","relevance","types"
26253668,14.428386,50.089218,"false","2025-01-01T00:26:00.0000+01:00",2,3,35
26253668,14.428386,50.089218,"false","2025-01-01T00:26:00.0000+01:00",2,3,43
26253668,14.428386,50.089218,"false","2025-01-01T00:26:00.0000+01:00",2,3,55
26253668,14.428386,50.089218,"false","2025-01-01T00:26:00.0000+01:00",2,3,102
26253963,14.418536,50.083837,"false","2025-01-01T00:38:00.0000+01:00",1,4,76
26253963,14.418536,50.083837,"false","2025-01-01T00:38:00.0000+01:00",1,4,97
26253963,14.418536,50.083837,"false","2025-01-01T00:38:00.0000+01:00",1,4,111
26254054,14.428123,50.080429,"false","2025-01-01T00:15:00.0000+01:00",1,4,78
26254054,14.428123,50.080429,"false","2025-01-01T00:15:00.0000+01:00",1,4,97
26254054,14.428123,50.080429,"false","2025-01-01T00:15:00.0000+01:00",1,4,132
26254063,14.420572,50.088225,"false","2025-01-01T00:10:00.0000+01:00",1,4,78
26254063,14.420572,50.088225,"false","2025-01-01T00:10:00.0000+01:00",1,4,97
26254063,14.420572,50.088225,"false","2025-01-01T00:10:00.0000+01:00",1,4,132
26254072,14.420572,50.088225,"false","2025-01-01T00:05:00.0000+01:00",1,4,78
26254072,14.420572,50.088225,"false","2025-01-01T00:05:00.0000+01:00",1,4,97
26254072,14.420572,50.088225,"false","2025-01-01T00:05:00.0000+01:00",1,4,132
26254138,14.420572,50.088225,"false","2025-01-01T00:10:00.0000+01:00",1,4,78
26254138,14.420572,50.088225,"false","2025-01-01T00:10:00.0000+01:00",1,4,97
26254138,14.420572,50.088225,"false","2025-01-01T00:10:00.0000+01:00",1,4,132
26254210,14.421097,50.086515,"false","2025-01-01T01:17:00.0000+01:00",2,3,35
26254210,14.421097,50.086515,"false","2025-01-01T01:17:00.0000+01:00",2,3,43
26254210,14.421097,50.086515,"false","2025-01-01T01:17:00.0000+01:00",2,3,55
26254210,14.421097,50.086515,"false","2025-01-01T01:17:00.0000+01:00",2,3,102
26254296,14.425887,50.082811,"false","2025-01-01T00:35:00.0000+01:00",1,4,78
26254296,14.425887,50.082811,"false","2025-01-01T00:35:00.0000+01:00",1,4,97
26254296,14.425887,50.082811,"false","2025-01-01T00:35:00.0000+01:00",1,4,132
26254463,14.426664,50.081486,"false","2025-01-01T01:40:00.0000+01:00",1,3,80
26254463,14.426664,50.081486,"false","2025-01-01T01:40:00.0000+01:00",1,3,83
26254534,14.420572,50.088225,"false","2025-01-01T00:30:00.0000+01:00",1,4,78
26254534,14.420572,50.088225,"false","2025-01-01T00:30:00.0000+01:00",1,4,97
26254534,14.420572,50.088225,"false","2025-01-01T00:30:00.0000+01:00",1,4,132
26254591,14.424074,50.083797,"false","2025-01-01T01:15:00.0000+01:00",1,4,78
26254591,14.424074,50.083797,"false","2025-01-01T01:15:00.0000+01:00",1,4,97
26254591,14.424074,50.083797,"false","2025-01-01T01:15:00.0000+01:00",1,4,132
26254681,14.420572,50.088225,"false","2025-01-01T01:30:00.0000+01:00",1,4,78
